ID,Date,Name,Event Category,Start Time,Duration,Room,Expected Attendance,Actual Attendance,Food Servings Count,Food Wasted Count,Energy Consumption (kwh)
001,06-01-2026,Band Concert,Arts,5:30 PM,2.5,Gym,214,202,192,18,78.7
002,06-01-2026,Math Competition,Competition,2:00 PM,2.0,Library,211,184,211,12,34.6
003,06-01-2026,Basketball Game,Sports,4:00 PM,1.5,Auditorium,197,139,177,8,29.2
004,06-01-2026,Science Olympiad,Competition,2:30 PM,2.5,Library,177,221,177,7,37.1
005,06-02-2026,Robotics Meeting,Club,3:00 PM,2.0,Auditorium,188,151,150,6,36.5
006,06-02-2026,Math Competition,Competition,2:15 PM,3.0,Auditorium,267,209,293,14,63.9
007,06-02-2026,Volleyball Game,Sports,4:00 PM,1.5,Auditorium,78,88,62,3,21.4
008,06-02-2026,Science Olympiad,Competition,2:30 PM,1.0,Library,160,136,128,9,16.4
009,06-03-2026,STEM Family Night,Family Night,5:30 PM,2.0,Cafeteria,222,227,199,15,44.1
010,06-03-2026,Practice SAT,Testing,2:00 PM,2.5,Auditorium,139,103,111,11,30.8
011,06-03-2026,Green Team Workshop,Club,3:30 PM,1.0,Auditorium,209,203,167,4,15.9
012,06-03-2026,Robotics Meeting,Club,3:00 PM,2.5,Auditorium,249,217,273,31,52.7
013,06-04-2026,Mock Exams,Testing,2:00 PM,2.5,Cafeteria,153,164,168,5,42.0
014,06-04-2026,College Night,Assembly,5:30 PM,4.0,Library,128,117,140,13,66.4
015,06-04-2026,Theater Showcase,Arts,5:00 PM,2.0,Science Lab,152,104,121,12,31.9
016,06-04-2026,Soccer Banquet,Sports,4:00 PM,2.0,Cafeteria,150,134,135,10,29.8
017,06-05-2026,Guest Speaker,Assembly,2:30 PM,1.5,Cafeteria,201,123,180,24,28.4
018,06-05-2026,Robotics Tournament,Competition,2:00 PM,1.0,Auditorium,102,117,81,3,17.3
019,06-05-2026,Science Olympiad,Competition,2:15 PM,2.0,Gym,147,149,132,4,28.7
020,06-05-2026,Awards Assembly,Assembly,2:00 PM,1.5,Cafeteria,160,110,128,9,25.6
021,06-08-2026,Basketball Game,Sports,4:00 PM,1.5,Science Lab,200,128,200,25,29.4
022,06-08-2026,Practice SAT,Testing,2:00 PM,2.5,Science Lab,133,97,119,13,27.9
023,06-08-2026,Curriculum Night,Family Night,5:30 PM,2.0,Cafeteria,226,191,203,23,42.8
024,06-08-2026,College Night,Assembly,5:00 PM,2.0,Library,111,118,122,11,31.8
025,06-09-2026,Theater Showcase,Arts,4:30 PM,3.0,Science Lab,196,185,156,3,59.8
026,06-09-2026,Science Olympiad,Competition,2:30 PM,2.5,Auditorium,125,145,100,5,39.1
027,06-09-2026,AP Review Session,Testing,2:00 PM,3.5,Auditorium,210,175,231,15,56.8
028,06-09-2026,College Night,Assembly,5:30 PM,2.0,Science Lab,118,128,94,2,30.6
029,06-10-2026,STEM Family Night,Family Night,5:30 PM,2.0,Cafeteria,207,207,165,11,37.7
030,06-10-2026,Robotics Meeting,Club,3:00 PM,3.0,Cafeteria,80,83,72,3,34.6
031,06-10-2026,Practice SAT,Testing,2:00 PM,1.0,Gym,187,165,149,2,18.8
032,06-10-2026,Volleyball Game,Sports,4:00 PM,1.5,Science Lab,132,128,132,10,22.8
033,06-11-2026,Soccer Banquet,Sports,5:00 PM,2.5,Gym,309,272,247,18,60.1
034,06-11-2026,Math Competition,Competition,2:00 PM,2.0,Gym,170,116,170,21,39.3
035,06-11-2026,Green Team Workshop,Club,3:30 PM,2.5,Auditorium,205,188,205,20,43.4
036,06-11-2026,Awards Assembly,Assembly,2:00 PM,3.0,Auditorium,173,169,155,6,55.9
037,06-12-2026,Robotics Meeting,Club,3:00 PM,3.0,Auditorium,314,265,345,41,74.4
038,06-12-2026,Robotics Tournament,Competition,2:15 PM,3.5,Gym,176,88,140,17,70.2
039,06-12-2026,NHS Service Night,Club,4:00 PM,2.5,Science Lab,163,149,179,13,49.8
040,06-12-2026,Guest Speaker,Assembly,2:00 PM,3.0,Science Lab,90,65,99,18,36.7
041,06-15-2026,Art Walk,Arts,4:30 PM,2.0,Auditorium,145,132,130,11,35.2
042,06-15-2026,Open House,Family Night,5:30 PM,2.5,Cafeteria,280,265,280,22,62.4
043,06-15-2026,Mock Exams,Testing,2:00 PM,2.5,Library,175,168,157,5,40.1
044,06-15-2026,Soccer Banquet,Sports,4:30 PM,2.0,Cafeteria,120,108,120,8,28.3
045,06-16-2026,NHS Service Night,Club,3:30 PM,1.5,Gym,95,87,85,4,22.6
046,06-16-2026,Guest Speaker,Assembly,2:30 PM,1.5,Auditorium,210,195,189,17,38.5
047,06-16-2026,Art Walk,Arts,5:00 PM,2.0,Library,130,118,117,9,31.7
048,06-16-2026,Volleyball Game,Sports,4:00 PM,1.5,Gym,165,148,165,14,33.2
049,06-17-2026,Science Olympiad,Competition,2:00 PM,3.0,Library,140,128,126,6,42.8
050,06-17-2026,Green Team Workshop,Club,3:30 PM,1.5,Science Lab,88,79,79,3,19.4
